s: 1, t: 1, i: 1, j: 3, val: 1
s: 1, t: 1, i: 3, j: 4, val: 1
s: 1, t: 1, i: 4, j: 6, val: 1
s: 1, t: 1, i: 6, j: 7, val: 1
s: 1, t: 2, i: 1, j: 3, val: 1
s: 1, t: 2, i: 3, j: 4, val: 0 
s: 1, t: 2, i: 3, j: 8, val: 1 
s: 1, t: 2, i: 3, j: 9, val: 0
s: 1, t: 2, i: 4, j: 6, val: 0 
s: 1, t: 2, i: 6, j: 9, val: 0 
s: 1, t: 2, i: 9, j: 11, val: 0 
s: 1, t: 2, i: 11, j: 8, val: 0 
s: 1, t: 3, i: 1, j: 3, val: 1 
s: 1, t: 3, i: 3, j: 4, val: 0
s: 1, t: 3, i: 3, j: 9, val: 1 
s: 1, t: 3, i: 4, j: 6, val: 0 
s: 1, t: 3, i: 6, j: 9, val: 0
s: 1, t: 3, i: 6, j: 10, val: 0
s: 1, t: 3, i: 9, j: 10, val: 1
s: 2, t: 1, i: 2, j: 5, val: 1
s: 2, t: 1, i: 4, j: 6, val: 0
s: 2, t: 1, i: 5, j: 4, val: 0
s: 2, t: 1, i: 5, j: 7, val: 1
s: 2, t: 1, i: 6, j: 7, val: 0
s: 2, t: 3, i: 2, j: 5, val: 1
s: 2, t: 3, i: 4, j: 6, val: 1
s: 2, t: 3, i: 5, j: 4, val: 1
s: 2, t: 3, i: 6, j: 9, val: 0
s: 2, t: 3, i: 6, j: 10, val: 1
s: 2, t: 3, i: 9, j: 10, val: 0


